feature,importance
cat__ORGANIZATION_TYPE_Medicine,0.0
cat__ORGANIZATION_TYPE_Legal Services,0.0
num__BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,0.0
num__BUREAU_AMT_CREDIT_MAX_OVERDUE_MIN,0.0
cat__ORGANIZATION_TYPE_Industry: type 10,0.0
cat__ORGANIZATION_TYPE_Industry: type 11,0.0
cat__ORGANIZATION_TYPE_Industry: type 12,0.0
cat__ORGANIZATION_TYPE_Industry: type 13,0.0
cat__ORGANIZATION_TYPE_Industry: type 2,0.0
cat__ORGANIZATION_TYPE_Industry: type 3,0.0
cat__ORGANIZATION_TYPE_Industry: type 4,0.0
cat__ORGANIZATION_TYPE_Industry: type 5,0.0
cat__ORGANIZATION_TYPE_Industry: type 6,0.0
cat__ORGANIZATION_TYPE_Industry: type 7,0.0
cat__ORGANIZATION_TYPE_Industry: type 8,0.0
cat__ORGANIZATION_TYPE_Industry: type 9,0.0
cat__ORGANIZATION_TYPE_Insurance,0.0
cat__ORGANIZATION_TYPE_Kindergarten,0.0
num__APARTMENTS_MODE,0.0
num__PREV_CC_SK_DPD_SUM_MEAN,0.0
num__PREV_COUNT,0.0
num__PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_SUM_MEAN,0.0
